,datum,tage,lebenszahl,paarsumme
27392,31.12.0075,27392,1,168
27757,30.12.0076,27757,1,168
28062,31.10.0077,28062,1,168
28092,30.11.0077,28092,1,168
28121,29.12.0077,28121,1,168
63551,31.12.0174,63551,1,168
63915,30.12.0175,63915,1,168
64221,31.10.0176,64221,1,168
64251,30.11.0176,64251,1,168
64280,29.12.0176,64280,1,168
64585,30.10.0177,64585,1,168
64615,29.11.0177,64615,1,168
64644,28.12.0177,64644,1,168
99710,31.12.0273,99710,1,168
100074,30.12.0274,100074,1,168
100379,31.10.0275,100379,1,168
100409,30.11.0275,100409,1,168
100438,29.12.0275,100438,1,168
100744,30.10.0276,100744,1,168
100774,29.11.0276,100774,1,168
100803,28.12.0276,100803,1,168
101049,31.08.0277,101049,1,168
101079,30.09.0277,101079,1,168
101108,29.10.0277,101108,1,168
101138,28.11.0277,101138,1,168
101167,27.12.0277,101167,1,168
135869,31.12.0372,135869,1,168
136233,30.12.0373,136233,1,168
136538,31.10.0374,136538,1,168
136568,30.11.0374,136568,1,168
136597,29.12.0374,136597,1,168
136902,30.10.0375,136902,1,168
136932,29.11.0375,136932,1,168
136961,28.12.0375,136961,1,168
137208,31.08.0376,137208,1,168
137238,30.09.0376,137238,1,168
137267,29.10.0376,137267,1,168
137297,28.11.0376,137297,1,168
137326,27.12.0376,137326,1,168
137542,31.07.0377,137542,1,168
137572,30.08.0377,137572,1,168
137602,29.09.0377,137602,1,168
137631,28.10.0377,137631,1,168
137661,27.11.0377,137661,1,168
137690,26.12.0377,137690,1,168
172028,31.12.0471,172028,1,168
172393,30.12.0472,172393,1,168
172698,31.10.0473,172698,1,168
172728,30.11.0473,172728,1,168
172757,29.12.0473,172757,1,168
173062,30.10.0474,173062,1,168
173092,29.11.0474,173092,1,168
173121,28.12.0474,173121,1,168
173367,31.08.0475,173367,1,168
173397,30.09.0475,173397,1,168
173426,29.10.0475,173426,1,168
173456,28.11.0475,173456,1,168
173485,27.12.0475,173485,1,168
173702,31.07.0476,173702,1,168
173732,30.08.0476,173732,1,168
173762,29.09.0476,173762,1,168
173791,28.10.0476,173791,1,168
173821,27.11.0476,173821,1,168
173850,26.12.0476,173850,1,168
174066,30.07.0477,174066,1,168
174096,29.08.0477,174096,1,168
174126,28.09.0477,174126,1,168
174155,27.10.0477,174155,1,168
174185,26.11.0477,174185,1,168
174214,25.12.0477,174214,1,168
208187,31.12.0570,208187,1,168
208551,30.12.0571,208551,1,168
208857,31.10.0572,208857,1,168
208887,30.11.0572,208887,1,168
208916,29.12.0572,208916,1,168
209221,30.10.0573,209221,1,168
209251,29.11.0573,209251,1,168
209280,28.12.0573,209280,1,168
209526,31.08.0574,209526,1,168
209556,30.09.0574,209556,1,168
209585,29.10.0574,209585,1,168
209615,28.11.0574,209615,1,168
209644,27.12.0574,209644,1,168
209860,31.07.0575,209860,1,168
209890,30.08.0575,209890,1,168
209920,29.09.0575,209920,1,168
209949,28.10.0575,209949,1,168
209979,27.11.0575,209979,1,168
210008,26.12.0575,210008,1,168
210225,30.07.0576,210225,1,168
210255,29.08.0576,210255,1,168
210285,28.09.0576,210285,1,168
210314,27.10.0576,210314,1,168
210344,26.11.0576,210344,1,168
210373,25.12.0576,210373,1,168
210530,31.05.0577,210530,1,168
210560,30.06.0577,210560,1,168
210589,29.07.0577,210589,1,168
210619,28.08.0577,210619,1,168
210649,27.09.0577,210649,1,168
210678,26.10.0577,210678,1,168
210708,25.11.0577,210708,1,168
210737,24.12.0577,210737,1,168
244346,31.12.0669,244346,1,168
244710,30.12.0670,244710,1,168
245015,31.10.0671,245015,1,168
245045,30.11.0671,245045,1,168
245074,29.12.0671,245074,1,168
